TimeCreated,Id,LevelDisplayName,ProviderName,Message
"2026-02-28 10:57:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 10:48:25","7021","信息","Netwtw10","7021 - Connection telemetry fields and analysis usage"
"2026-02-28 10:41:09","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 10:41:09","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 10:27:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 10:27:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 09:57:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 09:57:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 09:54:37","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-02-28 09:54:23","1","警告","VMnetDHCP","dispatch: Timeout waiting for input data"
"2026-02-28 09:53:52","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-02-28 09:53:43","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 09:53:43","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 09:53:38","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 09:53:38","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 09:35:10","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
